incident_id;datum;country_id;region_id;subregion_id;ort;elevation;latitude;longitude;incline;aspect_id;danger_id;n_injured;n_dead;n_uninjured;involved_sum;involved;valid_time;revision
8383;2012-02-09 00:00:00;1;1;163;Guffertstein;;47.560038;12.165038;;;3;0;0;;;none;true;1
8385;2012-02-09 00:00:00;1;1;163;Vorderunnutz;;47.560039;12.165039;;;3;0;0;;;none;true;1
8386;2012-02-11 00:00:00;1;1;172;Alpenklubscharte;;47.115281999999;11.005282;;;3;0;0;;;none;true;1
8387;2012-02-11 00:00:00;1;1;165;Kaltenberg;;47.270199999999;10.5352;;;3;0;0;;;none;true;1
8390;2012-02-15 00:00:00;1;1;173;Gedeir/Pfons;;47.235142;11.645142;;;4;0;0;;;none;true;1
8391;2012-02-15 00:00:00;1;1;180;Ginzling;;47.105063;11.810063;;;4;0;0;;;none;true;1
8392;2012-02-15 00:00:00;1;1;170;Velillalpe;2700;47.011495;10.327175;45;6;4;0;1;;;yes;true;1
8393;2012-02-15 00:00:00;1;1;177;Wilde Grube;;46.930296999999;10.985297;;;3;0;0;;;none;true;1
8394;2012-02-16 00:00:00;2;9;18;Bataner;2100;46.995101;10.385101;40;8;4;0;0;;;yes;true;1
8395;2012-02-16 00:00:00;2;9;18;Fimbatal;1950;46.9951;10.3851;;8;3;0;0;;;yes;true;1
8397;2012-02-16 00:00:00;1;1;165;Gartner Alpe;1450;47.270201999999;10.535202;;;3;1;0;;;yes;true;1
8398;2012-02-16 00:00:00;1;1;180;Hainzenberg;;47.105064;11.810064;;1;4;0;0;;;none;true;1
8399;2012-02-16 00:00:00;1;1;175;Hanglhöhe;1400;47.390123;12.240123;37;8;3;1;0;;;yes;true;1
8402;2012-02-16 00:00:00;1;1;173;Kaltenbach;1550;47.235144;11.645144;;;3;1;0;;;yes;true;1
8403;2012-02-16 00:00:00;1;1;184;Prüglesgungge;2250;46.895032;12.535032;33;;3;0;0;;;none;true;1
8404;2012-02-16 00:00:00;2;9;18;Schwarze Wand;2500;46.995102;10.385102;;2;4;0;0;;;yes;true;1
8405;2012-02-16 00:00:00;1;1;173;Spieljoch;1800;47.235145;11.645145;40;;4;0;0;;;yes;true;1
8406;2012-02-16 00:00:00;1;1;165;St. Christoph;1790;47.270202999999;10.535203;40;5;4;0;0;;;none;true;1
8407;2012-02-16 00:00:00;1;1;175;Stanglalm;;47.390124;12.240124;;;3;0;0;;;none;true;1
8408;2012-02-16 00:00:00;1;1;165;Steißbachtal;;47.270203999999;10.535204;;;4;0;0;;;none;true;1
8409;2012-02-16 00:00:00;1;1;180;Vals;;47.105065;11.810065;;;4;0;0;;;none;true;1
8410;2012-02-17 00:00:00;1;1;165;Füssener Jöchle;;47.270204999999;10.535205;;;3;0;0;;;none;true;1
