incident_id;datum;country_id;region_id;subregion_id;ort;elevation;latitude;longitude;incline;aspect_id;danger_id;n_injured;n_dead;n_uninjured;involved_sum;involved;valid_time;revision;region_name;involved_id;___id;___s
6816;1995-03-23 00:00:00;1;1;172;Zwieselbachjoch - ;2900;47.105991;11.039959;45;5;3;0;2;;;yes;true;1;Tirol;30002;T000002R000076;true
6817;1995-03-26 00:00:00;1;1;165;Steißbachtal - ;2000;47.270003;10.535003;;;;0;0;;;none;true;1;Tirol;0;T000002R000077;true
6818;1995-03-31 00:00:00;1;1;173;Glungezer - Große Diretissima;2450;47.214109;11.520353;37;1;3;0;2;;;yes;true;1;Tirol;30002;T000002R000078;true
6819;1995-04-12 00:00:00;2;9;18;Vermunttal - Sedel;1700;46.995008;10.385008;;;;0;0;;;none;true;1;Schweiz-Suisse-Svizzera-Svizra;0;T000002R000079;true
6820;1995-04-22 00:00:00;1;1;177;Fernautal - Mutterbergalm;1920;46.930009;10.985009;;2;3;1;0;;;yes;true;1;Tirol;2001;T000002R000080;true
6821;1995-05-24 00:00:00;1;1;177;Ötztaler Wildspitze - unterhalb Nordflanke;3400;46.888869;10.871651;40;2;;0;2;;;yes;true;1;Tirol;30002;T000002R000081;true
6822;1995-05-24 00:00:00;1;1;160;Stempeljoch - Stempelreisen;2100;47.395005;11.260005;;2;;0;0;;;yes;true;1;Tirol;0;T000002R000082;true
6823;1995-06-08 00:00:00;1;1;172;Sulzkogel / Kühtai - ;2700;47.180698;11.012078;;2;;0;1;;;yes;true;1;Tirol;30001;T000002R000083;true
6824;1995-11-26 00:00:00;1;1;172;Hochtennboden - Axamer Lizum;2315;47.178361;11.283606;42;2;;0;1;;;yes;true;1;Tirol;30001;T000002R000084;true
6825;1995-12-14 00:00:00;1;1;179;Tobelfall - Grawa-Eisgarten;2200;47.013489;11.20237;;8;2;0;2;;;yes;true;1;Tirol;30002;T000002R000085;true
6826;1995-12-16 00:00:00;1;1;172;Freier Schiraum / Kühtai - Dreiseenlift;2400;47.115011;11.005011;35;8;3;1;0;;;yes;true;1;Tirol;2001;T000002R000086;true
6827;1995-12-22 00:00:00;1;1;182;Firschnitztal - Nahe Firschnitzscharte;2800;47.039512;12.454633;35;4;3;0;1;;;yes;true;1;Tirol;30001;T000002R000087;true
6828;1995-12-26 00:00:00;2;9;18;Palinkopf - Ostseite Palinkopfe;2800;46.995009;10.385009;40;3;;0;0;;;yes;true;1;Schweiz-Suisse-Svizzera-Svizra;0;T000002R000088;true
6829;1995-12-27 00:00:00;1;1;165;Paggentobel - Galzig;;47.270004;10.535004;35;;;0;0;;;yes;true;1;Tirol;0;T000002R000089;true
6830;1995-12-28 00:00:00;1;1;180;Grübelspitze - ;;47.105005;11.810005;;2;;0;0;;;yes;true;1;Tirol;0;T000002R000090;true
6831;1995-12-28 00:00:00;1;1;172;Venetbahn - Bergstation;;47.115012;11.005012;;8;;0;0;;;yes;true;1;Tirol;0;T000002R000091;true
6832;1995-12-31 00:00:00;1;1;176;Gamshag - ;2105;47.364457;12.467412;35;7;3;0;1;;;yes;true;1;Tirol;30001;T000002R000092;true
6833;1996-01-04 00:00:00;1;1;181;Fiegerhorn - Südflanke;2700;47.025003;12.430003;;5;3;1;0;;;yes;true;1;Tirol;2001;T000002R000093;true
6834;1996-01-05 00:00:00;1;1;177;Gaislachkogel - Wasserkar;2950;46.93001;10.98501;40;2;;0;0;;;yes;true;1;Tirol;0;T000002R000094;true
6835;1996-01-05 00:00:00;1;1;177;Rostizkogel - Riffelseegebiet;3200;46.930011;10.985011;40;2;3;1;0;;;yes;true;1;Tirol;2001;T000002R000095;true
6836;1996-01-06 00:00:00;1;1;170;Greitspitze - ;2650;46.962124;10.327894;35;7;3;0;1;;;yes;true;1;Tirol;30001;T000002R000096;true
6982;1999-02-13 00:00:00;2;9;18;Wonneschrofen - Schönjochabfahrt;;46.99502;10.38502;40;;;0;0;;;yes;true;1;Schweiz-Suisse-Svizzera-Svizra;0;T000002R000097;true
6837;1996-01-07 00:00:00;1;1;163;Vorderunnutz - Gipfelregion;1920;47.560001;12.165001;40;1;3;1;0;;;yes;true;1;Tirol;2001;T000002R000098;true
6838;1996-02-18 00:00:00;1;1;175;Gauxalm - Aubachgraben;1800;47.34076;12.377437;;8;3;0;1;;;yes;true;1;Tirol;30001;T000002R000099;true
6840;1996-02-18 00:00:00;1;1;165;Kapallschrofen - ;;47.270006;10.535006;;;;0;0;;;yes;true;1;Tirol;0;T000002R000100;true
6841;1996-02-18 00:00:00;2;9;18;Lavens-Schlepplift - Komperdell;;46.99501;10.38501;;3;;0;0;;;yes;true;1;Schweiz-Suisse-Svizzera-Svizra;0;T000002R000101;true
6842;1996-02-18 00:00:00;1;1;165;Moostal - Rossfall - Riffl;1800;47.270007;10.535007;30;;3;1;0;;;yes;true;1;Tirol;2001;T000002R000102;true
6880;1996-09-14 00:00:00;1;1;177;Hinterer Brunnenkogel - Pitztaler Gletscher;;46.930016;10.985016;35;4;;0;0;;;none;true;1;Tirol;0;T000002R000103;true
6843;1996-02-18 00:00:00;1;1;165;Paggentobel - Maienwasen;1960;47.270008;10.535008;45;4;3;3;0;;;yes;true;1;Tirol;2003;T000002R000104;true
6844;1996-02-18 00:00:00;1;1;165;Rendl, Gampberg - Oberer Gstansboden;1800;47.270009;10.535009;40;1;3;1;0;;;yes;true;1;Tirol;2001;T000002R000105;true
6845;1996-02-18 00:00:00;1;1;163;Rofangebirge - Seekarlspitze;2020;47.560002;12.165002;;6;3;1;0;;;yes;true;1;Tirol;2001;T000002R000106;true
6846;1996-02-18 00:00:00;1;1;175;Schigebiet Pengelstein - Saukasergraben;1800;47.38444;12.354126;40;2;3;0;1;;;yes;true;1;Tirol;30001;T000002R000107;true
6847;1996-02-18 00:00:00;1;1;165;Schöngraben - ;;47.27001;10.53501;;;;0;0;;;yes;true;1;Tirol;0;T000002R000108;true
6848;1996-02-18 00:00:00;1;1;175;Spiessnägel - ;1750;47.390003;12.240003;37;3;3;1;0;;;yes;true;1;Tirol;2001;T000002R000109;true
